地點1,地點2,方位,里程,書籍出處,原文文句
西域,匈奴,西,--,漢書,皆在匈奴之西，烏孫之南。
西域,烏孫,南,--,漢書,皆在匈奴之西，烏孫之南。
漢,西域,東,六千餘里,漢書,東則接漢，東西六千餘里
陽關,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
玉門,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
西域,葱嶺,東,--,漢書,西則限以葱嶺。
,,,,,
,,,,,
玉門,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
陽關,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
西域,玉門,西,--,漢書,自玉門、陽關出西域有兩道
西域,陽關,西,--,漢書,自玉門、陽關出西域有兩道
莎車,鄯善,西,--,漢書,從鄯善傍南山北，波河西行至莎車，為南道
疏勒,車師前王廷,西,--,漢書,自車師前王廷隨北山，波河西行至疏勒，為北道
都護治/烏壘城,陽關,--,2738里,漢書,都護治烏壘城，去陽關二千七百三十八里
婼羌,陽關,--,1800里,漢書,去陽關千八百里
,,,,,
婼羌,且末,東,--,漢書,西與且末接
婼羌,鄯善,東南,--,漢書,西北至鄯善，乃當道云
鄯善,陽關,西,1600里,漢書,去陽關千六百里
,,,,,
鄯善,都護治/烏壘城,東南,1785里,漢書,西北去都護治所千七百八十五里
鄯善,山國,--,1365里,漢書,至山國千三百六十五里
鄯善,車師,東南,1890里,漢書,西北至車師千八百九十里
鄯善,且末,東,720里,漢書,鄯善當漢道衝，西通且末七百二十里
,,,,,
且末,都護治/烏壘城,東南,2258里,漢書,西北至都護治所二千二百五十八里
且末,小宛,北,可三日行,漢書,南至小宛可三日行
且末,精絕,東,2000里,漢書,西通精絕二千里
,,,,,
小宛,都護治/烏壘城,東南,2558里,漢書,西北至都護治所二千五百五十八里
,,,,,
精絕,都護治/烏壘城,南,2723里,漢書,北至都護治所二千七百二十三里
精絕,戎盧,北,四日行,漢書,南至戎盧國四日行
精絕,扜彌,東,460里,漢書,西通扜彌四百六十里
,,,,,
戎盧,都護治/烏壘城,西南,2858里,漢書,東北至都護治所二千八百五十八里
,,,,,
扜彌,都護治/烏壘城,西南,3553里,漢書,東北至都護治所三千五百五十三里
扜彌,于闐,東,390里,漢書,西通于闐三百九十里
,,,,,
渠勒,都護治/烏壘城,西南,3852里,漢書,東北至都護治所三千八百五十二里
,,,,,
于闐,都護治/烏壘城,西南,3947里,漢書,東北至都護治所三千九百四十七里
于闐,皮山,東,380里,漢書,西通皮山三百八十里
,,,,,
皮山,都護治/烏壘城,西南,4292里,漢書文本,東北至都護治所四千二百九十二里
皮山,烏秅,東北,1340里,漢書文本,西南至烏秅國千三百四十里
皮山,姑墨,南,1450里,漢書文本,北至姑墨千四百五十里
皮山,莎車,東南,380里,漢書文本,西北通莎車三百八十里
,,,,,
烏秅,都護治/烏壘城,西南,4892里,漢書文本,東北至都護治所四千八百九十二里
烏秅,陽關,--,5888里,漢書文本,去陽關五千八百八十八里
烏秅,都護治/烏壘城,--,5210里,漢書文本,去都護治所五千二（百）〔十〕里
,,,,,
西夜,都護治/烏壘城,西南,5046里,漢書文本,東北到都護治所五千四十六里
,,,,,
蒲犂,都護治/烏壘城,西南,5396里,漢書,東北至都護治所五千三百九十六里
蒲犂,莎車,西,540里,漢書,東至莎車五百四十里
蒲犂,疏勒,南,550里,漢書,北至疏勒五百五十里
蒲犂,無雷,東,540里,漢書,西至無雷五百四十里
,,,,,
依耐,都護治/烏壘城,西南,2730里,漢書,東北至都護治所二千七百三十里
依耐,莎車,--,540里,漢書,至莎車五百四十里
依耐,無雷,--,540里,漢書,至無雷五百四十里
依耐,疏勒,南,650里,漢書,北至疏勒六百五十里
,,,,,
無雷,都護治/烏壘城,西南,2465里,漢書,東北至都護治所二千四百六十五里
無雷,蒲犂,北,540里,漢書,南至蒲犂五百四十里
,,,,,
難兜,都護治/烏壘城,西南,2850里,漢書,東北至都護治所二千八百五十里
難兜,無雷,東,340里,漢書,西至無雷三百四十里
難兜,罽賓,東北,330里,漢書,西南至罽賓三百三十里
,,,,,
罽賓,都護治/烏壘城,西南,6840里,漢書,東北至都護治所六千八百四十里
罽賓,烏秅國,西,2250里,漢書,東至烏秅國二千二百五十里
罽賓,難兜國,西南,九日行,漢書,東北至難兜國九日行
,,,,,
烏弋山離,都護治/烏壘城,西南,六十日行,漢書,東北至都護治所六十日行
烏弋山離,罽賓,西,--,漢書,東與罽賓接
烏弋山離,撲挑,南,--,漢書,北與撲挑接
烏弋山離,犂靬,東,--,漢書,西與犂靬接
烏弋山離,條支,--,可百餘日,漢書,行可百餘日，乃至條支
,,,,,
,,,,,
,,,,,
安息國,康居,南,--,漢書,北與康居接
安息國,烏弋山離,西,--,漢書,東與烏弋山離接
安息國,條支,東,--,漢書,西與條支接
,,,,,
,,,,,
,,,,,
大月氏國,都護治/烏壘城,西,4740里,漢書,東至都護治所四千七百四十里
大月氏國,安息,東,四十九日行,漢書,西至安息四十九日行
休密翎侯,都護治/烏壘城,西,2841里,漢書,去都護二千八百四十一里
休密翎侯,陽關,西,7802里,漢書,去陽關七千八百二里
雙靡翎侯,都護治/烏壘城,西,3741里,漢書,去都護三千七百四十一里
雙靡翎侯,陽關,西,7782里,漢書,去陽關七千七百八十二里
貴霜翎侯,都護治/烏壘城,西,5940里,漢書,去都護五千九百四十里
貴霜翎侯,陽關,西,7982里,漢書,去陽關七千九百八十二里
肸頓翎侯,都護治/烏壘城,西,5962里,漢書,去都護五千九百六十二里
肸頓翎侯,陽關,西,8202里,漢書,去陽關八千二百二里
高附翎侯,都護治/烏壘城,西,6041里,漢書,去都護六千四十一里
高附翎侯,陽關,西,9283里,漢書,去陽關九千二百八十三里
