地點1,地點2,方位,里程,書籍出處,原文文句
休密翎侯,都護治/烏壘城,西,2841里,漢書,去都護二千八百四十一里
休密翎侯,陽關,西,7802里,漢書,去陽關七千八百二里
雙靡翎侯,都護治/烏壘城,西,3741里,漢書,去都護三千七百四十一里
雙靡翎侯,陽關,西,7782里,漢書,去陽關七千七百八十二里
貴霜翎侯,都護治/烏壘城,西,5940里,漢書,去都護五千九百四十里
貴霜翎侯,陽關,西,7982里,漢書,去陽關七千九百八十二里
肸頓翎侯,都護治/烏壘城,西,5962里,漢書,去都護五千九百六十二里
肸頓翎侯,陽關,西,8202里,漢書,去陽關八千二百二里
高附翎侯,都護治/烏壘城,西,6041里,漢書,去都護六千四十一里
高附翎侯,陽關,西,9283里,漢書,去陽關九千二百八十三里
蘇城,都護治/烏壘城,西,5776里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
蘇城,陽關,西,8025里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
附墨城,都護治/烏壘城,西,5767里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
附墨城,陽關,西,8025里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
窳匿城,都護治/烏壘城,西,5266里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
窳匿城,陽關,西,7525里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
罽城,都護治/烏壘城,西,6296里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
罽城,陽關,西,8555里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
奧鞬城,都護治/烏壘城,西,6906里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
奧鞬城,陽關,西,8355里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
